timestamp,latitude,longitude2026-03-10 19:49:42.679506,-20,-145
2026-03-10 19:50:30.304450,65,70
2026-03-10 19:58:39.620787,-20,-145
2026-03-10 20:01:37.941430,-20,-145
2026-03-10 20:01:57.856219,65,70
2026-03-10 20:02:04.638712,45,-100
2026-03-10 20:16:32.618479,-20,-145
2026-03-10 20:17:02.312251,-90,-135
2026-03-10 20:17:31.625339,-90,-135
2026-03-10 20:18:41.308053,-90,-135
2026-03-10 20:54:33.506661,-90,-180
2026-03-10 20:58:00.839614,-90,-180
2026-03-10 20:58:11.183804,-90,-180
2026-03-10 21:01:31.756191,-90,-180
2026-03-10 21:01:43.883200,-90,35
2026-03-10 21:02:08.474761,-5,140
2026-03-10 21:17:20.459430,-90,-180
2026-03-10 21:20:19.355358,-90,-180
2026-03-10 21:20:31.536084,-90,-180
2026-03-10 21:20:48.500429,-90,-180
2026-03-11 10:16:14.785022,-90,-180
2026-03-11 10:16:47.189531,-90,-180
2026-03-11 10:17:22.324080,-90,-180
2026-03-11 10:18:09.821076,-90,35
2026-03-11 10:18:16.365242,-90,-180
2026-03-11 10:22:59.401894,-90,-180
2026-03-11 10:31:29.503549,-90,-180
2026-03-11 10:31:54.422177,-5,140
2026-03-11 10:48:25.000965,-90,-180
