latitude,longitude,risk_score,name
-90,-180,0.9314428107459645,"Waitangi, NZ"
-90,-175,0.901422033370006,"Waitangi, NZ"
-90,-170,0.8994292585819859,"Waitangi, NZ"
-90,-165,0.8926071948949442,"Waitangi, NZ"
-90,-160,0.8990854849808518,"Waitangi, NZ"
-90,-155,0.9247134301367721,"Waitangi, NZ"
-90,-150,0.8816971478057039,"Waitangi, NZ"
-90,-145,0.947429530258575,"Waitangi, NZ"
-90,-140,0.8710896203510461,"Waitangi, NZ"
-90,-135,0.9747318219619406,"Waitangi, NZ"
-90,-130,0.947872581527455,"Adamstown, PN"
-90,-125,0.8709444277745203,"Hanga Roa, CL"
-90,-120,0.9387469442558362,"Puerto Natales, CL"
-90,-115,0.9402639451160725,"Puerto Natales, CL"
-90,-110,0.948276564301613,"Puerto Natales, CL"
-90,-105,0.9884505589579604,"Punta Arenas, CL"
-90,-100,0.8989970035919224,"Punta Arenas, CL"
-90,-95,0.8958381041076109,"Punta Arenas, CL"
-90,-90,0.9215060537219968,"Ushuaia, AR"
-90,-85,0.8774050911270832,"Ushuaia, AR"
-90,-80,0.9387469442558362,"Ushuaia, AR"
-90,-75,0.8799490252047519,"Ushuaia, AR"
-90,-70,0.92281870147331,"Ushuaia, AR"
-90,-65,0.9637381861189184,"Ushuaia, AR"
-90,-60,0.8815378777408487,"Ushuaia, AR"
-90,-55,0.8804567078904559,"Ushuaia, AR"
-90,-50,0.8653471776757944,"Grytviken, GS"
-90,-45,0.862891812567471,"Grytviken, GS"
-90,-40,0.9128217079338385,"Grytviken, GS"
-90,-35,0.9783111585779398,"Grytviken, GS"
-90,-30,0.8951015376976162,"Grytviken, GS"
-90,-25,0.8708770874927864,"Grytviken, GS"
-90,-20,0.8817869229408726,"Grytviken, GS"
-90,-15,0.8602753178895606,"Grytviken, GS"
-90,-10,0.8847820761526098,"Grytviken, GS"
-90,-5,0.8689353302887646,"Grytviken, GS"
-90,0,1.0574404573372433,"Grytviken, GS"
-90,5,0.8684826056867504,"Grytviken, GS"
-90,10,0.8999413692992408,"Hermanus, ZA"
-90,15,0.8655132970178261,"Bredasdorp, ZA"
-90,20,0.88934526628685,"Bredasdorp, ZA"
-90,25,0.9005831010387917,"Bredasdorp, ZA"
-90,30,0.9125879341502587,"Jeffrey's Bay, ZA"
-90,35,0.880158443438769,"Port-aux-Francais, TF"
-90,40,0.9103495700764617,"Port-aux-Francais, TF"
-90,45,0.9285572441366814,"Port-aux-Francais, TF"
-90,50,0.9023797910785758,"Port-aux-Francais, TF"
-90,55,0.9754482959036429,"Port-aux-Francais, TF"
-90,60,0.9221010681286035,"Port-aux-Francais, TF"
-90,65,0.8849801080122193,"Port-aux-Francais, TF"
-90,70,0.922291575085592,"Port-aux-Francais, TF"
-90,75,0.9273358859590558,"Port-aux-Francais, TF"
-90,80,1.0131464879544025,"Port-aux-Francais, TF"
-90,85,0.8675962225926236,"Port-aux-Francais, TF"
-90,90,0.8707542724306441,"Port-aux-Francais, TF"
-90,95,0.8892687694445918,"Port-aux-Francais, TF"
-90,100,0.9014058183075989,"Port-aux-Francais, TF"
-90,105,0.9271321698397014,"Port-aux-Francais, TF"
-90,110,0.9514094543534373,"Grasmere, AU"
-90,115,0.9511115693744294,"McMurdo Station, AQ"
-90,120,0.9421961278501211,"McMurdo Station, AQ"
-90,125,0.9706292538982625,"McMurdo Station, AQ"
-90,130,0.8989970035919224,"McMurdo Station, AQ"
-90,135,0.8772245907233179,"McMurdo Station, AQ"
-90,140,0.9014058183075989,"McMurdo Station, AQ"
-90,145,0.873372272060323,"McMurdo Station, AQ"
-90,150,0.8803341676531101,"McMurdo Station, AQ"
-90,155,0.9335577563924181,"McMurdo Station, AQ"
-90,160,0.9527615860461246,"McMurdo Station, AQ"
-90,165,0.8549350745612457,"McMurdo Station, AQ"
-90,170,0.9674530535061199,"McMurdo Station, AQ"
-90,175,0.8902345246631465,"McMurdo Station, AQ"
-90,180,0.9946540070313336,"McMurdo Station, AQ"
-85,-180,0.8911350471560778,"Waitangi, NZ"
-85,-175,0.8926071948949442,"Waitangi, NZ"
-85,-170,0.9289946676865609,"Waitangi, NZ"
-85,-165,0.9435218194922961,"Waitangi, NZ"
-85,-160,0.9451338991464036,"Waitangi, NZ"
-85,-155,0.8834459054115275,"Waitangi, NZ"
-85,-150,0.9046017862704261,"Waitangi, NZ"
-85,-145,0.9409251297231077,"Waitangi, NZ"
-85,-140,0.8622252456488653,"Waitangi, NZ"
-85,-135,0.873203596546384,"Waitangi, NZ"
-85,-130,0.8641469130285271,"Adamstown, PN"
-85,-125,0.8884654368593428,"Hanga Roa, CL"
-85,-120,0.9401344039593225,"Puerto Natales, CL"
-85,-115,0.9685830645871848,"Puerto Natales, CL"
-85,-110,0.9604785756344879,"Puerto Natales, CL"
-85,-105,0.8859646154162714,"Puerto Natales, CL"
-85,-100,1.0215745472333622,"Punta Arenas, CL"
-85,-95,0.8748096807003822,"Punta Arenas, CL"
-85,-90,0.8777365990406046,"Punta Arenas, CL"
-85,-85,0.87457348440827,"Ushuaia, AR"
-85,-80,0.8865377012684394,"Ushuaia, AR"
-85,-75,0.8830737894807861,"Ushuaia, AR"
-85,-70,0.8545370166457597,"Ushuaia, AR"
-85,-65,0.9068556366519743,"Ushuaia, AR"
-85,-60,1.0001515247458515,"Ushuaia, AR"
-85,-55,0.935699882425842,"Ushuaia, AR"
-85,-50,0.8743506245974875,"Grytviken, GS"
-85,-45,0.9091720630613744,"Grytviken, GS"
-85,-40,0.9404079275096833,"Grytviken, GS"
-85,-35,0.8817285812113314,"Grytviken, GS"
-85,-30,0.8822913788067126,"Grytviken, GS"
-85,-25,0.8633144113596345,"Grytviken, GS"
-85,-20,0.9361559281819334,"Grytviken, GS"
-85,-15,0.8957784931302417,"Grytviken, GS"
-85,-10,0.8675962225926236,"Grytviken, GS"
-85,-5,0.8751941475170224,"Grytviken, GS"
-85,0,0.913194871542286,"Grytviken, GS"
-85,5,0.8792983515381284,"Edinburgh of the Seven Seas, SH"
-85,10,0.9128217079338385,"Hermanus, ZA"
-85,15,0.9460337041339598,"Bredasdorp, ZA"
-85,20,0.8978993651090079,"Bredasdorp, ZA"
-85,25,0.8924641641712516,"Bredasdorp, ZA"
-85,30,0.8978993651090079,"Jeffrey's Bay, ZA"
-85,35,0.9155106661251409,"Port-aux-Francais, TF"
-85,40,0.9110805284627705,"Port-aux-Francais, TF"
-85,45,0.915291556569572,"Port-aux-Francais, TF"
-85,50,0.902395568269458,"Port-aux-Francais, TF"
-85,55,0.9171296183505602,"Port-aux-Francais, TF"
-85,60,0.9369355768276533,"Port-aux-Francais, TF"
-85,65,0.9113978734419559,"Port-aux-Francais, TF"
-85,70,0.9907255087151603,"Port-aux-Francais, TF"
-85,75,0.8822913788067126,"Port-aux-Francais, TF"
-85,80,0.9121801878501152,"Port-aux-Francais, TF"
-85,85,0.8800999991881426,"Port-aux-Francais, TF"
-85,90,0.9218588339779935,"Port-aux-Francais, TF"
-85,95,0.8774050911270832,"Port-aux-Francais, TF"
-85,100,0.9158490044523844,"Port-aux-Francais, TF"
-85,105,0.9356941718491774,"Port-aux-Francais, TF"
-85,110,0.8709816577911996,"Denmark, AU"
